1,Первый канал,Федеральные
2,Россия,Федеральные
3,НТВ,Федеральные
4,Россия 24,Федеральные
5,5 канал,Федеральные
6,ТНТ,Развлечения
7,СТС,Развлечения
8,ТВ3,Развлечения
9,Че,Развлечения
10,Домашний,Развлечения
11,National Geographic,Познавательные
12,Viasat Explore HD,Познавательные
13,Viasat History HD,Познавательные
14,Моя Планета,Познавательные
15,Discovery channel,Познавательные
16,ТНТ MUSIC,Музыка
17,RUSSIAN MUSICBOX HD,Музыка
18,MUSICBOX,Музыка
19,RU.TV HD,Музыка
20,Bridge TV,Музыка
21,TV 1000 Action,Кино
22,Русский Иллюзион,Кино
23,КИНОКОМЕДИЯ,Кино
24,Дом Кино,Кино
25,Любимое Кино,Кино
26,МАТЧ! HD,Спорт
27,МАТЧ! ПРЕМЬЕР,Спорт
28,КХЛ,Спорт
29,UDAR,Спорт
30,Мотоспорт ТВ HD,Спорт
